Bus,Day,Time,Weather,Crowd
21G,Monday,Morning,Sunny,High
21A,Monday,Morning,Sunny,Medium
47A,Monday,Morning,Sunny,Low
10B,Monday,Morning,Sunny,High
11H,Monday,Morning,Sunny,Medium
29C,Monday,Morning,Sunny,Low
5C,Monday,Morning,Sunny,High
15A,Monday,Morning,Sunny,Medium
24B,Monday,Morning,Sunny,Low
3D,Monday,Morning,Sunny,High
7A,Tuesday,Afternoon,Rainy,Medium
14C,Tuesday,Afternoon,Rainy,Low
18B,Tuesday,Afternoon,Rainy,High
32A,Tuesday,Afternoon,Rainy,Medium
54D,Tuesday,Afternoon,Rainy,Low
72A,Wednesday,Evening,Cloudy,High
102,Wednesday,Evening,Cloudy,Medium
S1,Wednesday,Evening,Cloudy,Low
S2,Thursday,Morning,Sunny,High
S3,Thursday,Morning,Sunny,Medium
